0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.500000,5.000000,5.000000,4.000000,5.000000,5.000000,3.500000,4.500000,4.000000,5.000000
15.000000,14.000000,13.000000,14.500000,15.000000,13.000000,13.500000,15.500000,13.500000,13.500000
20.000000,21.500000,20.500000,22.500000,21.500000,20.000000,20.500000,21.500000,21.000000,20.000000
28.000000,27.500000,27.000000,29.500000,29.500000,27.500000,29.000000,30.000000,28.500000,28.000000
35.000000,35.000000,36.000000,36.000000,36.500000,36.000000,35.500000,36.000000,35.500000,35.000000
41.500000,42.000000,42.500000,42.500000,44.000000,41.500000,42.500000,42.500000,42.000000,41.000000
48.000000,48.500000,49.500000,50.000000,49.500000,47.000000,49.000000,48.500000,48.500000,47.500000
53.500000,54.000000,56.000000,54.000000,55.000000,53.000000,55.000000,55.000000,56.000000,55.000000
