0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,1.000000,0.000000,1.000000,0.000000,1.500000,1.000000,1.000000,0.500000,1.500000
7.500000,7.500000,7.500000,8.000000,8.000000,6.000000,7.000000,8.000000,7.000000,7.000000
13.500000,13.500000,13.500000,14.500000,14.000000,13.000000,13.500000,14.500000,13.500000,14.000000
21.500000,21.000000,21.500000,23.000000,23.000000,20.500000,22.000000,24.500000,22.000000,21.500000
28.500000,28.000000,30.000000,30.000000,30.500000,28.500000,29.500000,31.000000,30.500000,27.500000
35.000000,35.500000,36.500000,36.500000,37.500000,35.500000,36.500000,36.000000,37.000000,35.500000
43.000000,43.000000,44.500000,43.000000,43.000000,41.500000,44.000000,43.000000,44.000000,42.500000
50.000000,48.500000,50.000000,49.500000,50.500000,48.500000,50.000000,50.500000,50.000000,48.500000
