0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.000000,3.000000,4.000000,4.000000,4.000000,3.500000,4.000000,4.500000,3.500000,4.500000
8.500000,8.000000,9.000000,10.000000,10.000000,8.500000,9.500000,10.500000,8.500000,9.500000
16.500000,16.500000,16.500000,18.000000,19.000000,17.500000,17.000000,19.000000,17.500000,17.500000
24.500000,25.000000,24.500000,27.500000,27.000000,25.500000,25.000000,26.500000,25.500000,24.000000
32.000000,32.500000,32.000000,34.000000,33.500000,32.000000,33.000000,35.000000,32.500000,31.000000
39.500000,39.500000,40.500000,40.000000,40.500000,38.500000,40.000000,41.500000,38.500000,39.500000
44.500000,44.500000,46.500000,46.000000,47.500000,45.000000,45.500000,49.000000,45.500000,45.500000
