0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.000000,5.500000,6.000000,7.000000,7.000000,5.500000,6.500000,7.500000,6.000000,6.000000
15.500000,14.500000,16.000000,16.500000,16.000000,15.000000,15.500000,18.000000,15.000000,14.500000
22.000000,23.000000,22.500000,24.000000,23.500000,21.000000,22.500000,24.500000,22.000000,23.000000
30.500000,28.500000,29.500000,29.500000,31.500000,29.500000,29.500000,30.500000,31.000000,29.500000
37.000000,36.500000,37.500000,37.500000,37.500000,36.000000,38.000000,39.000000,37.500000,36.000000
42.500000,42.000000,43.500000,43.000000,45.000000,43.000000,44.000000,45.000000,43.500000,44.500000
49.500000,50.000000,49.000000,50.000000,50.000000,47.500000,50.500000,52.000000,51.500000,49.000000
54.000000,54.500000,54.500000,56.000000,58.500000,55.000000,56.000000,56.500000,55.500000,55.000000
