0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,2.000000,0.500000,2.000000,1.000000,1.500000,1.000000,3.000000,1.500000,1.500000
9.000000,8.500000,8.000000,9.000000,10.000000,9.000000,9.500000,9.500000,9.500000,9.000000
16.500000,15.500000,16.500000,17.000000,18.000000,15.000000,16.500000,17.500000,16.000000,15.500000
24.500000,23.000000,24.000000,23.500000,25.500000,23.000000,24.500000,26.500000,24.500000,23.000000
31.500000,30.500000,31.000000,33.500000,33.500000,30.500000,32.500000,32.000000,31.500000,31.000000
38.000000,38.000000,38.500000,39.500000,39.000000,37.500000,39.000000,41.000000,37.500000,38.000000
45.000000,44.000000,44.500000,45.000000,47.500000,44.500000,45.000000,46.500000,44.500000,44.000000
50.500000,49.000000,50.000000,53.000000,52.000000,50.000000,53.000000,52.500000,50.500000,50.000000
