0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,0.500000,0.000000,0.500000,0.500000,1.000000,1.000000,0.000000,0.000000,1.000000
4.500000,5.000000,5.000000,4.000000,4.500000,5.000000,3.500000,4.500000,4.000000,5.000000
9.500000,10.000000,8.000000,10.500000,9.500000,8.500000,9.000000,10.000000,9.000000,10.000000
14.000000,15.500000,13.000000,14.500000,14.500000,13.500000,13.000000,14.500000,12.500000,13.500000
18.000000,17.500000,16.000000,17.500000,18.000000,17.000000,17.500000,17.500000,17.500000,17.500000
20.000000,21.500000,20.000000,20.500000,22.000000,19.500000,20.500000,20.500000,20.500000,21.500000
24.500000,25.000000,25.000000,24.500000,25.500000,23.500000,24.500000,24.500000,25.000000,25.000000
29.500000,28.500000,28.000000,28.000000,29.500000,27.000000,27.500000,28.500000,27.500000,29.500000
31.500000,31.000000,32.000000,32.000000,32.500000,30.000000,31.000000,32.500000,31.500000,32.500000
